IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
IpAddress,174.68.179.174,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,186.33.68.35,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,23.183.83.188,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,45.61.185.69,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,43.131.23.41,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,157.230.216.203,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,45.61.187.76,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,116.58.254.185,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,185.220.205.196,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,165.227.55.9,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,199.19.224.76,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,206.189.51.64,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,23.183.82.177,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,113.31.125.232,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,74.82.47.2,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,93.160.62.190,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,46.249.33.123,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,159.89.150.92,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,60.217.75.69,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,74.82.47.5,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,186.33.69.92,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,139.59.232.244,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,136.144.41.117,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,5.8.10.202,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,80.82.77.192,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,178.73.215.171,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,2.103.157.113,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,113.128.188.241,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,34.140.248.32,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,192.35.168.160,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,109.152.82.101,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,112.94.103.188,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,86.13.117.171,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,165.227.49.57,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,180.149.125.163,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,92.118.161.49,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,84.68.133.175,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,51.254.59.113,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,42.228.111.19,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,183.136.225.56,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,207.46.13.90,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,185.180.143.79,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,106.13.90.51,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,37.252.64.51,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,198.98.60.234,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,24.177.187.46,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,172.98.71.20,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,106.75.211.240,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,195.201.175.217,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,107.189.5.172,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,128.14.134.170,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,23.183.81.250,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,23.183.83.18,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,109.248.6.130,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,104.244.73.9,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
